technology,scenario,year,locs,unit,total_investment_cost
hydro_reservoir,climate_neutrality,2050,SWE,billion_2015eur,4.02854378617812
hydro_run_of_river,climate_neutrality,2050,AUT,billion_2015eur,2.6802373023782833
hydro_run_of_river,climate_neutrality,2050,BEL,billion_2015eur,0.034614640666869326
hydro_run_of_river,climate_neutrality,2050,BGR,billion_2015eur,0.013138413746662716
hydro_run_of_river,climate_neutrality,2050,CZE,billion_2015eur,0.0235942345452827
hydro_run_of_river,climate_neutrality,2050,DEU,billion_2015eur,2.1569354402329513
hydro_run_of_river,climate_neutrality,2050,FIN,billion_2015eur,0.7675707656058108
hydro_run_of_river,climate_neutrality,2050,FRA,billion_2015eur,3.4846959425851893
hydro_run_of_river,climate_neutrality,2050,GBR,billion_2015eur,0.40189469192916494
hydro_run_of_river,climate_neutrality,2050,GRC,billion_2015eur,0.064703755020674
hydro_run_of_river,climate_neutrality,2050,HRV,billion_2015eur,0.16344874725069042
hydro_run_of_river,climate_neutrality,2050,HUN,billion_2015eur,0.011554765661127479
hydro_run_of_river,climate_neutrality,2050,IRL,billion_2015eur,0.12669184684281903
hydro_run_of_river,climate_neutrality,2050,ITA,billion_2015eur,4.075899596738121
hydro_run_of_river,climate_neutrality,2050,LVA,billion_2015eur,0.3766149761933987
hydro_run_of_river,climate_neutrality,2050,POL,billion_2015eur,0.008446339425454157
hydro_run_of_river,climate_neutrality,2050,PRT,billion_2015eur,0.9475494378452508
hydro_run_of_river,climate_neutrality,2050,ROU,billion_2015eur,0.5105505466867215
hydro_run_of_river,climate_neutrality,2050,SVK,billion_2015eur,0.376163343220857
hydro_run_of_river,climate_neutrality,2050,SVN,billion_2015eur,0.4866403932767792
hydro_run_of_river,climate_neutrality,2050,SWE,billion_2015eur,1.1471830154535554
nuclear,climate_neutrality,2050,BGR,billion_2015eur,0.00021628233807038244
nuclear,climate_neutrality,2050,CZE,billion_2015eur,2.2009975784141753
nuclear,climate_neutrality,2050,FIN,billion_2015eur,0.00022674434224506814
nuclear,climate_neutrality,2050,FRA,billion_2015eur,7.772597118263686
nuclear,climate_neutrality,2050,GBR,billion_2015eur,3.1442720946782377
nuclear,climate_neutrality,2050,HUN,billion_2015eur,0.847893598564918
nuclear,climate_neutrality,2050,ROU,billion_2015eur,0.22965000863554422
nuclear,climate_neutrality,2050,SVK,billion_2015eur,0.33209644029279767
battery,climate_neutrality,2050,AUT,billion_2015eur,1.0740449814086954
battery,climate_neutrality,2050,BEL,billion_2015eur,0.14699901162525966
battery,climate_neutrality,2050,BGR,billion_2015eur,0.18156942758788583
battery,climate_neutrality,2050,CYP,billion_2015eur,0.001811677037145443
battery,climate_neutrality,2050,CZE,billion_2015eur,0.13774303124640003
battery,climate_neutrality,2050,DEU,billion_2015eur,0.8680594223532999
battery,climate_neutrality,2050,DNK,billion_2015eur,0.001711735373198547
battery,climate_neutrality,2050,ESP,billion_2015eur,1.2384108293275644
battery,climate_neutrality,2050,EST,billion_2015eur,0.0008826438153014755
battery,climate_neutrality,2050,FIN,billion_2015eur,0.0015998941066283244
battery,climate_neutrality,2050,FRA,billion_2015eur,2.8108361017104455
battery,climate_neutrality,2050,GBR,billion_2015eur,0.4055439669694041
battery,climate_neutrality,2050,GRC,billion_2015eur,0.09791869825280174
battery,climate_neutrality,2050,HRV,billion_2015eur,0.13846979956623068
battery,climate_neutrality,2050,HUN,billion_2015eur,0.14153496077257288
battery,climate_neutrality,2050,IRL,billion_2015eur,0.03971562398873397
battery,climate_neutrality,2050,ITA,billion_2015eur,4.549959582098391
