technology,scenario,year,locs,unit,nameplate_capacity
hydrogen_storage,climate_neutrality,2050,CZE,tw,2.1405049052562838e-06
hydrogen_storage,climate_neutrality,2050,DEU,tw,7.497145850306988e-06
hydrogen_storage,climate_neutrality,2050,DNK,tw,2.1793652111362405e-06
hydrogen_storage,climate_neutrality,2050,ESP,tw,1.2015362494610625e-05
hydrogen_storage,climate_neutrality,2050,EST,tw,1.3306636401801356e-06
hydrogen_storage,climate_neutrality,2050,FIN,tw,2.5678984551627887e-06
hydrogen_storage,climate_neutrality,2050,FRA,tw,1.6197280003433336e-05
hydrogen_storage,climate_neutrality,2050,GBR,tw,6.5374762659738925e-06
hydrogen_storage,climate_neutrality,2050,GRC,tw,2.1768295856863484e-06
hydrogen_storage,climate_neutrality,2050,HRV,tw,1.0838208634177711e-06
hydrogen_storage,climate_neutrality,2050,HUN,tw,1.085553457115112e-06
hydrogen_storage,climate_neutrality,2050,IRL,tw,1.2215393427254793e-06
hydrogen_storage,climate_neutrality,2050,ITA,tw,6.585517200848647e-06
hydrogen_storage,climate_neutrality,2050,LTU,tw,1.3887856603604822e-06
hydrogen_storage,climate_neutrality,2050,LUX,tw,1.450774821425016e-06
hydrogen_storage,climate_neutrality,2050,LVA,tw,1.0882598580226561e-06
hydrogen_storage,climate_neutrality,2050,NLD,tw,1.0666386354186216e-06
hydrogen_storage,climate_neutrality,2050,POL,tw,5.416580293306039e-06
hydrogen_storage,climate_neutrality,2050,PRT,tw,2.1783067091353665e-06
hydrogen_storage,climate_neutrality,2050,ROU,tw,3.27371369924334e-06
hydrogen_storage,climate_neutrality,2050,SVK,tw,1.0765158057113993e-06
hydrogen_storage,climate_neutrality,2050,SVN,tw,1.4927156665521725e-06
hydrogen_storage,climate_neutrality,2050,SWE,tw,4.357485830760305e-06
eu_import,climate_neutrality,2050,AUT,tw,0.0024000757329498803
eu_import,climate_neutrality,2050,BGR,tw,0.01130686874890927
eu_import,climate_neutrality,2050,DEU,tw,0.007400033503902881
eu_import,climate_neutrality,2050,DNK,tw,0.0017000074283894245
eu_import,climate_neutrality,2050,FIN,tw,0.001999493512870535
eu_import,climate_neutrality,2050,FRA,tw,0.01754415667346786
eu_import,climate_neutrality,2050,GBR,tw,0.020708580497901845
eu_import,climate_neutrality,2050,GRC,tw,0.0021739947651145423
eu_import,climate_neutrality,2050,HRV,tw,0.007173519307673293
eu_import,climate_neutrality,2050,HUN,tw,0.020924190016593576
eu_import,climate_neutrality,2050,ITA,tw,0.009700039792344288
eu_import,climate_neutrality,2050,NLD,tw,0.021936987400928372
eu_import,climate_neutrality,2050,ROU,tw,0.02023700898123908
eu_import,climate_neutrality,2050,SWE,tw,0.020490354945748388
hp,climate_neutrality,2050,AUT,tw,0.019322627281908124
hp,climate_neutrality,2050,BEL,tw,0.034626444922178305
hp,climate_neutrality,2050,BGR,tw,0.0035328643031191363
hp,climate_neutrality,2050,CYP,tw,0.0014081111269801797
hp,climate_neutrality,2050,CZE,tw,0.02329996937543633
hp,climate_neutrality,2050,DEU,tw,0.22527278466241385
hp,climate_neutrality,2050,DNK,tw,0.01563225167044043
hp,climate_neutrality,2050,ESP,tw,0.05340059262983302
hp,climate_neutrality,2050,EST,tw,0.00043268659353812116
hp,climate_neutrality,2050,FIN,tw,0.016250177141859022
hp,climate_neutrality,2050,FRA,tw,0.15931101476552578
hp,climate_neutrality,2050,GBR,tw,0.13167532658745654
hp,climate_neutrality,2050,GRC,tw,0.01580725882949214
hp,climate_neutrality,2050,HRV,tw,0.006870661513288853
hp,climate_neutrality,2050,HUN,tw,0.021979529477260718
hp,climate_neutrality,2050,IRL,tw,0.00791451240316754
hp,climate_neutrality,2050,ITA,tw,0.12005697159218402
hp,climate_neutrality,2050,LTU,tw,0.002315258830458988
hp,climate_neutrality,2050,LUX,tw,0.00264382074520705
hp,climate_neutrality,2050,LVA,tw,0.000209335267081559
hp,climate_neutrality,2050,NLD,tw,0.05182523973494109
hp,climate_neutrality,2050,POL,tw,0.06854065817112567
hp,climate_neutrality,2050,PRT,tw,0.0067618558739225175
hp,climate_neutrality,2050,ROU,tw,0.01417378992191727
hp,climate_neutrality,2050,SVK,tw,0.006088459510496498
hp,climate_neutrality,2050,SVN,tw,0.0012505937290935006
hp,climate_neutrality,2050,SWE,tw,0.02156568925121415
electrolysis,climate_neutrality,2050,AUT,tw,0.00022438533184435992
electrolysis,climate_neutrality,2050,BEL,tw,3.2747214223137205e-05
electrolysis,climate_neutrality,2050,BGR,tw,1.0578791682996933e-05
electrolysis,climate_neutrality,2050,CYP,tw,0.0012960220559032887
electrolysis,climate_neutrality,2050,CZE,tw,0.00021576535360142337
electrolysis,climate_neutrality,2050,DEU,tw,0.0008061045180641196
electrolysis,climate_neutrality,2050,DNK,tw,0.03304527096884845
electrolysis,climate_neutrality,2050,ESP,tw,0.002415397805908036
electrolysis,climate_neutrality,2050,EST,tw,0.00834506606348694
electrolysis,climate_neutrality,2050,FIN,tw,1.462866382618078e-05
electrolysis,climate_neutrality,2050,FRA,tw,0.002400835289764363
electrolysis,climate_neutrality,2050,GBR,tw,0.12114577627719987
electrolysis,climate_neutrality,2050,GRC,tw,1.9082294323303896e-05
electrolysis,climate_neutrality,2050,HRV,tw,7.584985212118332e-06
electrolysis,climate_neutrality,2050,HUN,tw,1.825500946546372e-05
electrolysis,climate_neutrality,2050,IRL,tw,0.04532649625701568
electrolysis,climate_neutrality,2050,ITA,tw,0.005723852818476711
electrolysis,climate_neutrality,2050,LTU,tw,5.5378623716151474e-06
electrolysis,climate_neutrality,2050,LUX,tw,3.4162820974829388e-06
electrolysis,climate_neutrality,2050,LVA,tw,9.81066476457057e-06
electrolysis,climate_neutrality,2050,NLD,tw,1.1349681151924587e-05
electrolysis,climate_neutrality,2050,POL,tw,5.495801330106933e-05
electrolysis,climate_neutrality,2050,PRT,tw,0.056675713562848395
electrolysis,climate_neutrality,2050,ROU,tw,0.021281603048081063
electrolysis,climate_neutrality,2050,SVK,tw,1.2096914338847644e-05
electrolysis,climate_neutrality,2050,SVN,tw,5.738787624129263e-06
electrolysis,climate_neutrality,2050,SWE,tw,0.004713354393746396
hydrogen_to_methane,climate_neutrality,2050,AUT,tw,0.0002627073402822535
hydrogen_to_methane,climate_neutrality,2050,BEL,tw,3.7063729235845436e-05
hydrogen_to_methane,climate_neutrality,2050,BGR,tw,6.668689805656592e-06
hydrogen_to_methane,climate_neutrality,2050,CYP,tw,0.0007104807507488121
hydrogen_to_methane,climate_neutrality,2050,CZE,tw,0.0002565058799828684
hydrogen_to_methane,climate_neutrality,2050,DEU,tw,0.0009569678137968572
hydrogen_to_methane,climate_neutrality,2050,DNK,tw,0.02643425684934745
hydrogen_to_methane,climate_neutrality,2050,ESP,tw,0.00022548550027919244
hydrogen_to_methane,climate_neutrality,2050,EST,tw,0.0014760680200535466
hydrogen_to_methane,climate_neutrality,2050,FIN,tw,8.604967737073964e-06
hydrogen_to_methane,climate_neutrality,2050,FRA,tw,0.00011182398803901287
hydrogen_to_methane,climate_neutrality,2050,GBR,tw,0.023829505121822043
hydrogen_to_methane,climate_neutrality,2050,GRC,tw,1.1832777583476638e-05
hydrogen_to_methane,climate_neutrality,2050,HRV,tw,5.500071729821357e-06
hydrogen_to_methane,climate_neutrality,2050,HUN,tw,1.5607133650958147e-05
hydrogen_to_methane,climate_neutrality,2050,IRL,tw,0.019257997124594275
hydrogen_to_methane,climate_neutrality,2050,ITA,tw,0.0011170215041808433
hydrogen_to_methane,climate_neutrality,2050,LTU,tw,3.737228587244913e-06
hydrogen_to_methane,climate_neutrality,2050,LUX,tw,2.6782928464061463e-06
hydrogen_to_methane,climate_neutrality,2050,LVA,tw,4.843478748434802e-06
hydrogen_to_methane,climate_neutrality,2050,NLD,tw,1.0562527446319239e-05
hydrogen_to_methane,climate_neutrality,2050,POL,tw,4.026228735399976e-05
hydrogen_to_methane,climate_neutrality,2050,PRT,tw,0.007625502622357424
hydrogen_to_methane,climate_neutrality,2050,ROU,tw,0.001709847144713883
hydrogen_to_methane,climate_neutrality,2050,SVK,tw,1.183202160732696e-05
hydrogen_to_methane,climate_neutrality,2050,SVN,tw,3.181724735350147e-06
hydrogen_to_methane,climate_neutrality,2050,SWE,tw,0.00019300237863983106
