technology,scenario,year,locs,unit,flow_out_50
hp,climate_neutrality,2050,POL,twh,0.03909094476053689
hp,climate_neutrality,2050,PRT,twh,0.005205808411759372
hp,climate_neutrality,2050,ROU,twh,0.006394688439763598
hp,climate_neutrality,2050,SVK,twh,0.0036153884292774658
hp,climate_neutrality,2050,SVN,twh,0.0007952097950176981
hp,climate_neutrality,2050,SWE,twh,0.01273750454640355
electrolysis,climate_neutrality,2050,AUT,twh,0.00044337554129876815
electrolysis,climate_neutrality,2050,BEL,twh,6.394255661271541e-05
electrolysis,climate_neutrality,2050,BGR,twh,1.87683764061791e-05
electrolysis,climate_neutrality,2050,CYP,twh,0.002589584953375413
electrolysis,climate_neutrality,2050,CZE,twh,0.000428219251070883
electrolysis,climate_neutrality,2050,DEU,twh,0.0015999432814331489
electrolysis,climate_neutrality,2050,DNK,twh,0.06608698513077871
electrolysis,climate_neutrality,2050,ESP,twh,0.004777013317999306
electrolysis,climate_neutrality,2050,EST,twh,0.016687462056812596
electrolysis,climate_neutrality,2050,FIN,twh,2.6676995347248548e-05
electrolysis,climate_neutrality,2050,FRA,twh,0.004774603043786763
electrolysis,climate_neutrality,2050,GBR,twh,0.2308629271832794
electrolysis,climate_neutrality,2050,GRC,twh,3.342364021739495e-05
electrolysis,climate_neutrality,2050,HRV,twh,1.3067765529354968e-05
electrolysis,climate_neutrality,2050,HUN,twh,3.391680747587912e-05
electrolysis,climate_neutrality,2050,IRL,twh,0.0906505643619005
electrolysis,climate_neutrality,2050,ITA,twh,0.010898919473157933
electrolysis,climate_neutrality,2050,LTU,twh,9.577049445321006e-06
electrolysis,climate_neutrality,2050,LUX,twh,5.523190614316617e-06
electrolysis,climate_neutrality,2050,LVA,twh,1.751659368924175e-05
electrolysis,climate_neutrality,2050,NLD,twh,2.1024633143198125e-05
electrolysis,climate_neutrality,2050,POL,twh,0.00010086741988799081
electrolysis,climate_neutrality,2050,PRT,twh,0.11334171027375842
electrolysis,climate_neutrality,2050,ROU,twh,0.04255558501719246
electrolysis,climate_neutrality,2050,SVK,twh,2.253878487295152e-05
electrolysis,climate_neutrality,2050,SVN,twh,9.42327753520336e-06
electrolysis,climate_neutrality,2050,SWE,twh,0.009421297794290774
hydrogen_to_methane,climate_neutrality,2050,AUT,twh,0.0005204392633873579
hydrogen_to_methane,climate_neutrality,2050,BEL,twh,7.254210619274818e-05
hydrogen_to_methane,climate_neutrality,2050,BGR,twh,1.1737988901255039e-05
hydrogen_to_methane,climate_neutrality,2050,CYP,twh,0.001418915506366836
hydrogen_to_methane,climate_neutrality,2050,CZE,twh,0.0005098459288729697
hydrogen_to_methane,climate_neutrality,2050,DEU,twh,0.0019018972369291745
hydrogen_to_methane,climate_neutrality,2050,DNK,twh,0.05286485642295688
hydrogen_to_methane,climate_neutrality,2050,ESP,twh,0.0004318887198820209
hydrogen_to_methane,climate_neutrality,2050,EST,twh,0.0029505979313855625
hydrogen_to_methane,climate_neutrality,2050,FIN,twh,1.3740930353330356e-05
hydrogen_to_methane,climate_neutrality,2050,FRA,twh,0.00019754075020735683
hydrogen_to_methane,climate_neutrality,2050,GBR,twh,0.04764837764994634
hydrogen_to_methane,climate_neutrality,2050,GRC,twh,2.006405611762977e-05
