scenario,techs,locs,carriers,unit,year,nameplate_capacity
diag-npi,wind_onshore,DEU,electricity,tw,2050,0.0439805473768441
diag-npi,wind_onshore,DNK,electricity,tw,2050,0.0813967323779561
diag-npi,wind_onshore,ESP,electricity,tw,2050,0.0433386163798584
diag-npi,wind_onshore,FRA,electricity,tw,2050,0.1408613629992825
diag-npi,wind_onshore,GBR,electricity,tw,2050,0.1687792424760221
diag-npi,wind_onshore,ITA,electricity,tw,2050,0.033646913473012
diag-npi,wind_onshore,MNE,electricity,tw,2050,2.5066535141407004e-06
diag-npi,wind_onshore,NLD,electricity,tw,2050,0.0817739049616313
diag-npi,wind_onshore,NOR,electricity,tw,2050,0.0081267968892813
diag-npi,wind_onshore,POL,electricity,tw,2050,0.0206110244633364
diag-npi,wind_onshore,PRT,electricity,tw,2050,0.0420784073051802
diag-npi,wind_onshore,SWE,electricity,tw,2050,0.0412781946414771
